name,volumn(cl),alcohol,price(£),price/l,alcohol(%),unitprice
Deanston 18 Year Old,70,,74.95,,46.3,107.07
Lagavulin 16 Year Old,70,,81.75,,43.0,116.79
Balvenie 14 Year OldCaribbean Cask,70,,59.95,,43.0,85.64
Macallan 12 Year OldSherry Oak,70,,79.95,,40.0,114.21
Balvenie 21 Year OldSecond Red Rose Stories,70,,350.0,,48.1,500.0
Mortlach 15 Year OldGame of Thrones Six Kingdoms,70,,84.95,,46.0,121.36
Caperdonich 18 Year Old PeatedSecret Speyside,70,,120.0,,48.0,171.43
Glendronach 15 Year Old RevivalSherry Cask,70,,69.95,,46.0,99.93
Macallan 12 Year Old Double Cask,70,,66.95,,40.0,95.64
Aberlour 200613 Year Old Sherry Cask Distillery Reserve Collection,50,,89.95,,60.9,179.9
Nc'nean Organic Single Malt,70,,46.95,,46.0,67.07
Arran 10 Year Old,70,,38.75,,46.0,55.36
Balvenie 12 Year Old DoubleWood,70,,46.75,,40.0,66.79
Personalised Highland Special Reserve Single MaltSherry Cask,70,,59.95,,48.0,85.64
Glenfiddich 18 Year Old,70,,81.95,,40.0,117.07
Glenfiddich Orchard ExperimentExperimental Series #05,70,,42.95,,43.0,61.36
Oban Bay ReserveGame of Thrones Night's Watch,70,,67.95,,43.0,97.07
Laphroaig 10 Year OldCask Strength Batch 014 Bot.2021,70,,73.95,,58.6,105.64
Bunnahabhain 12 Year Old,70,,44.95,,46.3,64.21
Glenallachie 15 Year OldSherry Cask,70,,66.95,,46.0,95.64
Loch Lomond The Open Special Edition 2022,70,,42.95,,46.0,61.36
Ardbeg Uigeadail,70,,62.75,,54.2,89.64
Blair Athol 12 Year OldFlora & Fauna,70,,48.95,,43.0,69.93
Glenfarclas 15 Year Old100 Proof TWE Exclusive,70,,74.95,,57.1,107.07
Deanston 18 Year Old,70,,74.95,,46.3,107.07
Lagavulin 16 Year Old,70,,81.75,,43.0,116.79
Balvenie 14 Year OldCaribbean Cask,70,,59.95,,43.0,85.64
Macallan 12 Year OldSherry Oak,70,,79.95,,40.0,114.21
Balvenie 21 Year OldSecond Red Rose Stories,70,,350.0,,48.1,500.0
Mortlach 15 Year OldGame of Thrones Six Kingdoms,70,,84.95,,46.0,121.36
Caperdonich 18 Year Old PeatedSecret Speyside,70,,120.0,,48.0,171.43
Glendronach 15 Year Old RevivalSherry Cask,70,,69.95,,46.0,99.93
Macallan 12 Year Old Double Cask,70,,66.95,,40.0,95.64
Aberlour 200613 Year Old Sherry Cask Distillery Reserve Collection,50,,89.95,,60.9,179.9
Nc'nean Organic Single Malt,70,,46.95,,46.0,67.07
Arran 10 Year Old,70,,38.75,,46.0,55.36
Balvenie 12 Year Old DoubleWood,70,,46.75,,40.0,66.79
Personalised Highland Special Reserve Single MaltSherry Cask,70,,59.95,,48.0,85.64
Glenfiddich 18 Year Old,70,,81.95,,40.0,117.07
Glenfiddich Orchard ExperimentExperimental Series #05,70,,42.95,,43.0,61.36
Oban Bay ReserveGame of Thrones Night's Watch,70,,67.95,,43.0,97.07
Laphroaig 10 Year OldCask Strength Batch 014 Bot.2021,70,,73.95,,58.6,105.64
Bunnahabhain 12 Year Old,70,,44.95,,46.3,64.21
Glenallachie 15 Year OldSherry Cask,70,,66.95,,46.0,95.64
Loch Lomond The Open Special Edition 2022,70,,42.95,,46.0,61.36
Ardbeg Uigeadail,70,,62.75,,54.2,89.64
Blair Athol 12 Year OldFlora & Fauna,70,,48.95,,43.0,69.93
Glenfarclas 15 Year Old100 Proof TWE Exclusive,70,,74.95,,57.1,107.07
Deanston 18 Year Old,70,,74.95,,46.3,107.07
Lagavulin 16 Year Old,70,,81.75,,43.0,116.79
Balvenie 14 Year OldCaribbean Cask,70,,59.95,,43.0,85.64
Macallan 12 Year OldSherry Oak,70,,79.95,,40.0,114.21
